"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
6.10769035904065e-193,0.760747223851051,0.383,0.289,1.22153807180813e-189,"0","INHBA-AS1"
1.05839442307451e-190,0.127064641169248,0.31,0.243,2.11678884614901e-187,"0","MROH8"
6.15090691939107e-189,0.332313497503395,0.48,0.399,1.23018138387821e-185,"0","ALPK3"
2.16326286030776e-173,0.443515128964327,0.507,0.406,4.32652572061551e-170,"0","AC004817.3"
4.59425215295991e-165,0.140168546387536,0.411,0.329,9.18850430591981e-162,"0","MMP10"
8.29574912569178e-155,0.178156456352103,0.625,0.551,1.65914982513836e-151,"0","THRB"
3.64661754088618e-151,0.306852339509,0.4,0.324,7.29323508177236e-148,"0","S100A1"
6.01980780108966e-143,0.194786511458557,0.476,0.343,1.20396156021793e-139,"0","PDGFA"
2.23447048327928e-140,0.482352296763435,0.361,0.291,4.46894096655856e-137,"0","PROX1"
2.87007330917577e-138,0.895566357853755,0.425,0.376,5.74014661835153e-135,"0","AC073352.2"
1.03622655837834e-121,0.340884296005354,0.732,0.681,2.07245311675667e-118,"0","OLFM2"
7.97199168612711e-113,0.125665627599066,0.485,0.457,1.59439833722542e-109,"0","IL23A"
9.45647542607824e-109,0.266189533231208,0.351,0.323,1.89129508521565e-105,"0","AC100858.3"
1.36595845079899e-91,0.291283248698217,0.399,0.379,2.73191690159799e-88,"0","CPB2-AS1"
1.14248692659404e-76,0.600499134444425,0.526,0.549,2.28497385318808e-73,"0","HAS1"
8.75646440353112e-66,0.145948879910776,0.444,0.41,1.75129288070622e-62,"0","HIST1H2BG"
1.37513292352759e-64,0.166891960730638,0.386,0.384,2.75026584705517e-61,"0","DIO2"
1.17198725655217e-40,0.336801093643211,0.408,0.416,2.34397451310435e-37,"0","AC008429.1"
1.92005416108842e-06,0.96319947333155,0.254,0.228,0.00384010832217685,"0","CCDC26"
0,0.936371555865328,0.865,0.339,0,"1","NR2F1-AS1"
0,0.304001699680938,0.812,0.346,0,"1","MCM10"
0,0.848748150480399,0.89,0.47,0,"1","MMP7"
0,0.453827408008402,0.846,0.428,0,"1","FAM167B"
0,0.910285273872249,0.854,0.455,0,"1","TMEM98"
0,0.93494794952182,0.861,0.464,0,"1","CASKIN2"
0,1.40381392994418,0.907,0.52,0,"1","FIBCD1"
0,0.267670134954875,0.733,0.349,0,"1","DIO2"
0,0.758769739339611,0.805,0.436,0,"1","CDT1"
0,0.201056263877524,0.832,0.48,0,"1","EGFLAM"
0,0.720048811050905,0.817,0.468,0,"1","CTNNA2"
0,0.133381878711373,0.642,0.301,0,"1","PCDHB4"
0,0.608692373762305,0.807,0.472,0,"1","MCM4"
0,0.113037604513449,0.596,0.265,0,"1","KRT17"
0,0.772049718835801,0.907,0.586,0,"1","CHL1"
0,0.445233067837115,0.897,0.582,0,"1","PCOLCE2"
0,0.444224610492979,0.757,0.451,0,"1","LINC00461"
0,0.171346432456095,0.857,0.553,0,"1","GPM6A"
0,0.601971441187835,0.837,0.538,0,"1","FAM3D"
0,0.669326951811537,0.767,0.469,0,"1","NMB"
0,0.151928246628779,0.838,0.543,0,"1","NTRK3"
0,0.137079646853088,0.908,0.614,0,"1","IGFBP1"
0,0.73903869620331,0.863,0.573,0,"1","HEPN1"
0,0.483203342234739,0.836,0.546,0,"1","SCG5"
0,0.180537076280516,0.62,0.335,0,"1","IDO1"
0,0.226990651967768,0.734,0.45,0,"1","SPINK2"
0,0.283735431066753,0.821,0.541,0,"1","CLSPN"
0,0.284497759385155,0.537,0.264,0,"1","HIST1H1A"
0,0.90101363778566,0.642,0.37,0,"1","MATK"
0,0.257883676582599,0.798,0.527,0,"1","TK1"
0,0.68569211045505,0.773,0.502,0,"1","FABP4"
0,0.592083950991244,0.704,0.436,0,"1","UCK2"
0,0.660207583638053,0.909,0.644,0,"1","UCHL1"
